DIAG SET 1: ANN MEANS GLOBAL
 
TEST CASE: corey33 (yrs 2050-2069)
 
CONTROL CASE: b.e11.TSREFC2.f09.g16.ccmi23.002 (yrs 2050-2069)
 
Variable          corey33        b.e11.TSREFC2.f09.g16.ccmi23.002        corey33        RMSE
                                                            -b.e11.TSREFC2.f09.g16.ccmi23.002
RESTOM             0.943               1.037            -0.095         4.482
RESSURF            0.934               1.031            -0.097         3.961
SOLIN            340.267             340.267             0.000         0.000
AAM            1.398e+26           1.452e+26        -5.354e+24      -999.000
CHI_200            0.008               0.001             0.007         0.599
CLDHGH            29.118              28.947             0.171         2.018
CLDLOW            33.144              33.274            -0.129         1.491
CLDMED            15.873              15.735             0.138         1.580
CLDTOT            51.246              51.185             0.061         1.688
EKE_850           30.358              30.461            -0.103         1.683
EP             1.267e-04           1.394e-04        -1.267e-05         0.416
FLNS              58.771              57.941             0.830         1.753
FLNSC             81.365              80.227             1.138         1.830
FLNT             233.376             234.734            -1.358         2.911
FLNTC            262.402             263.672            -1.270         1.605
FSDS             183.563             182.649             0.914         3.906
FSDSC            246.234             245.370             0.864         1.211
FSNS             159.051             160.026            -0.975         5.067
FSNSC            215.138             216.644            -1.506         6.583
FSNSC_ICE         54.744              55.205            -0.461         3.483
FSNSC_LAND       179.606             179.216             0.390         1.233
FSNT             234.318             235.771            -1.453         4.894
FSNTC            286.610             288.656            -2.046         6.423
ICEAREA           22.945              21.569             1.376         0.047
LHFLX             82.226              83.948            -1.722         5.070
LWCF              29.026              28.938             0.088         2.060
PRECT              2.819               2.879            -0.060         0.410
PRECT_LAND         2.390               2.380             0.011         0.232
PRECT_OCEAN        3.113               3.203            -0.090         0.483
PREH2O            26.663              27.941            -1.278         1.780
PREH2O_OCEAN      30.896              32.407            -1.512         2.089
PSI_200           -0.034              -0.034             0.000         0.229
PS               985.500             985.626            -0.125         0.651
PSL             1011.181            1011.283            -0.102         0.652
QFLX               2.819               2.879            -0.060         0.155
SHFLX             17.121              17.107             0.014         1.605
SNOWHLND          11.263              11.085             0.177         2.122
SST               20.770              21.425            -0.654         0.810
STRESS_MAG         0.068               0.066             0.002         0.008
SWCF             -52.292             -52.885             0.593         3.831
T_850            282.319             282.956            -0.637         0.749
TGCLDLWP         135.115             136.806            -1.690        10.667
TGCLDIWP          17.117              16.854             0.263         1.261
TICLDTWP        -999.000            -999.000          -999.000      -999.000
AODVIS          -999.000            -999.000          -999.000      -999.000
AODDUST         -999.000            -999.000          -999.000      -999.000
TREFHT           288.231             288.852            -0.622         0.767
TS               288.910             289.541            -0.631         0.795
TS_LAND          283.370             283.920            -0.550         0.715
U_200             15.460              15.802            -0.342         1.492
VT_850             0.169               0.112             0.057         0.676
Z3_500            56.852              57.003            -0.151         0.173
