DIAG SET 1: DJF MEANS GLOBAL
 
TEST CASE: corey33 (yrs 2050-2069)
 
CONTROL CASE: b.e11.TSREFC2.f09.g16.ccmi23.002 (yrs 2050-2069)
 
Variable          corey33        b.e11.TSREFC2.f09.g16.ccmi23.002        corey33        RMSE
                                                            -b.e11.TSREFC2.f09.g16.ccmi23.002
RESTOM             8.142               8.553            -0.411         6.707
RESSURF            7.522               7.727            -0.205         8.161
SOLIN            350.496             350.496             0.000         0.000
AAM            1.451e+26           1.515e+26        -6.362e+24      -999.000
CHI_200           -0.033              -0.036             0.003         0.666
CLDHGH            28.613              28.288             0.325         3.095
CLDLOW            32.601              32.642            -0.040         2.005
CLDMED            16.034              16.009             0.024         2.410
CLDTOT            50.554              50.380             0.174         2.582
EKE_850           27.411              27.637            -0.226         2.447
EP             5.673e-03           7.389e-03        -1.716e-03         0.683
FLNS              58.287              57.427             0.860         2.266
FLNSC             80.988              79.762             1.226         2.211
FLNT             230.316             231.786            -1.470         4.069
FLNTC            258.952             260.328            -1.377         1.961
FSDS             190.964             189.791             1.173         6.202
FSDSC            256.494             255.602             0.893         1.601
FSNS             163.192             164.661            -1.469         7.751
FSNSC            221.801             224.189            -2.388         9.596
FSNSC_ICE         30.065              26.167             3.898         4.556
FSNSC_LAND       145.295             144.972             0.323         1.615
FSNT             238.459             240.339            -1.880         7.426
FSNTC            292.897             295.756            -2.859         9.351
ICEAREA           21.269              20.225             1.044         0.046
LHFLX             82.595              84.651            -2.056         7.563
LWCF              28.635              28.542             0.093         3.015
PRECT              2.823               2.893            -0.070         0.648
PRECT_LAND         2.370               2.339             0.031         0.382
PRECT_OCEAN        3.136               3.253            -0.117         0.757
PREH2O            25.143              26.487            -1.344         2.116
PREH2O_OCEAN      30.213              31.877            -1.664         2.513
PSI_200           -0.001               0.000            -0.001         0.273
PS               985.351             985.483            -0.132         1.095
PSL             1011.343            1011.458            -0.115         1.099
QFLX               2.828               2.901            -0.072         0.218
SHFLX             14.788              14.856            -0.067         2.598
SNOWHLND          12.036              11.848             0.188         2.159
SST               20.764              21.456            -0.693         0.871
STRESS_MAG         0.072               0.070             0.002         0.012
SWCF             -54.438             -55.417             0.979         5.964
T_850            280.633             281.303            -0.670         0.861
TGCLDLWP         135.365             137.458            -2.093        16.614
TGCLDIWP          17.546              17.283             0.264         1.889
TICLDTWP        -999.000            -999.000          -999.000      -999.000
AODVIS          -999.000            -999.000          -999.000      -999.000
AODDUST         -999.000            -999.000          -999.000      -999.000
TREFHT           286.292             286.946            -0.654         0.887
TS               286.930             287.593            -0.663         0.907
TS_LAND          276.640             277.236            -0.596         0.950
U_200             16.189              16.442            -0.253         2.120
VT_850            -0.632              -0.691             0.059         1.299
Z3_500            56.586              56.749            -0.163         0.211
