DIAG SET 1: JJA MEANS GLOBAL
 
TEST CASE: corey33 (yrs 2050-2069)
 
CONTROL CASE: b.e11.TSREFC2.f09.g16.ccmi23.002 (yrs 2050-2069)
 
Variable          corey33        b.e11.TSREFC2.f09.g16.ccmi23.002        corey33        RMSE
                                                            -b.e11.TSREFC2.f09.g16.ccmi23.002
RESTOM            -9.118              -9.497             0.379         3.704
RESSURF          -10.018             -10.470             0.452         6.970
SOLIN            330.385             330.385             0.000         0.000
AAM            1.186e+26           1.249e+26        -6.265e+24      -999.000
CHI_200            0.042               0.032             0.009         0.902
CLDHGH            30.508              30.350             0.157         2.584
CLDLOW            35.697              35.924            -0.227         2.020
CLDMED            15.913              15.703             0.210         2.092
CLDTOT            54.281              54.242             0.038         2.335
EKE_850           27.846              27.968            -0.122         2.111
EP             1.279e-02           1.221e-02         5.830e-04         0.631
FLNS              57.464              56.601             0.863         2.390
FLNSC             80.600              79.477             1.122         2.173
FLNT             236.663             237.954            -1.291         3.770
FLNTC            266.535             267.713            -1.178         1.757
FSDS             171.198             170.476             0.721         5.128
FSDSC            235.237             234.423             0.814         1.348
FSNS             151.174             151.538            -0.364         4.983
FSNSC            208.616             209.205            -0.589         4.077
FSNSC_ICE         44.150              46.903            -2.752         6.459
FSNSC_LAND       215.097             214.477             0.620         1.849
FSNT             227.545             228.457            -0.911         4.718
FSNTC            281.345             282.542            -1.198         3.945
ICEAREA           23.966              22.331             1.635         0.073
LHFLX             84.213              85.955            -1.742         7.147
LWCF              29.872              29.759             0.113         2.770
PRECT              2.878               2.939            -0.061         0.609
PRECT_LAND         2.429               2.421             0.008         0.398
PRECT_OCEAN        3.170               3.259            -0.089         0.703
PREH2O            28.781              30.034            -1.252         1.769
PREH2O_OCEAN      31.624              33.032            -1.408         2.018
PSI_200           -0.073              -0.074             0.000         0.334
PS               985.708             985.831            -0.123         0.852
PSL             1011.070            1011.164            -0.094         0.900
QFLX               2.890               2.951            -0.061         0.210
SHFLX             19.514              19.451             0.063         2.516
SNOWHLND          10.246              10.108             0.139         2.165
SST               20.517              21.137            -0.619         0.767
STRESS_MAG         0.078               0.076             0.002         0.011
SWCF             -53.799             -54.086             0.286         4.573
T_850            284.254             284.887            -0.633         0.767
TGCLDLWP         141.318             142.860            -1.542        15.880
TGCLDIWP          16.230              15.984             0.245         1.729
TICLDTWP        -999.000            -999.000          -999.000      -999.000
AODVIS          -999.000            -999.000          -999.000      -999.000
AODDUST         -999.000            -999.000          -999.000      -999.000
TREFHT           290.209             290.816            -0.607         0.780
TS               290.890             291.504            -0.614         0.814
TS_LAND          290.066             290.601            -0.535         0.732
U_200             13.219              13.802            -0.583         1.852
VT_850             0.991               0.928             0.063         0.873
Z3_500            57.209              57.353            -0.143         0.177
