DIAG SET 1: MAM MEANS GLOBAL
 
TEST CASE: corey33 (yrs 2050-2069)
 
CONTROL CASE: b.e11.TSREFC2.f09.g16.ccmi23.002 (yrs 2050-2069)
 
Variable          corey33        b.e11.TSREFC2.f09.g16.ccmi23.002        corey33        RMSE
                                                            -b.e11.TSREFC2.f09.g16.ccmi23.002
RESTOM             2.550               2.193             0.357         4.206
RESSURF           -0.385              -0.383            -0.003         5.076
SOLIN            338.254             338.254             0.000         0.000
AAM            1.567e+26           1.579e+26        -1.248e+24      -999.000
CHI_200            0.013               0.003             0.011         0.635
CLDHGH            28.972              28.789             0.183         2.592
CLDLOW            31.296              31.591            -0.295         1.831
CLDMED            15.825              15.683             0.142         1.823
CLDTOT            49.642              49.724            -0.082         2.231
EKE_850           27.997              27.984             0.013         1.848
EP             2.103e-02           1.938e-02         1.644e-03         0.521
FLNS              60.356              59.371             0.985         2.148
FLNSC             82.251              81.004             1.247         2.073
FLNT             232.742             234.202            -1.460         3.546
FLNTC            261.996             263.299            -1.303         1.770
FSDS             185.595             184.586             1.009         4.435
FSDSC            244.201             243.367             0.833         1.212
FSNS             160.290             160.862            -0.572         4.907
FSNSC            212.697             213.814            -1.117         5.544
FSNSC_ICE         39.024              39.685            -0.661         3.365
FSNSC_LAND       190.597             190.550             0.047         2.552
FSNT             235.292             236.394            -1.103         4.706
FSNTC            284.236             285.933            -1.697         5.476
ICEAREA           22.568              21.340             1.228         0.055
LHFLX             82.305              83.893            -1.588         5.943
LWCF              29.255              29.098             0.157         2.621
PRECT              2.797               2.854            -0.058         0.510
PRECT_LAND         2.289               2.296            -0.007         0.320
PRECT_OCEAN        3.119               3.199            -0.081         0.591
PREH2O            26.236              27.591            -1.355         1.943
PREH2O_OCEAN      30.832              32.408            -1.575         2.251
PSI_200           -0.020              -0.021             0.001         0.186
PS               985.458             985.591            -0.133         0.728
PSL             1011.169            1011.281            -0.112         0.720
QFLX               2.818               2.874            -0.056         0.178
SHFLX             18.014              17.981             0.033         1.986
SNOWHLND          12.419              12.162             0.258         2.287
SST               20.827              21.480            -0.653         0.839
STRESS_MAG         0.067               0.065             0.002         0.009
SWCF             -48.945             -49.538             0.594         4.072
T_850            282.238             282.904            -0.667         0.807
TGCLDLWP         128.679             130.550            -1.872        12.562
TGCLDIWP          17.594              17.255             0.339         1.665
TICLDTWP        -999.000            -999.000          -999.000      -999.000
AODVIS          -999.000            -999.000          -999.000      -999.000
AODDUST         -999.000            -999.000          -999.000      -999.000
TREFHT           288.180             288.806            -0.626         0.824
TS               288.899             289.536            -0.637         0.859
TS_LAND          282.989             283.556            -0.567         0.797
U_200             17.058              17.072            -0.014         1.652
VT_850             0.230               0.169             0.061         0.838
Z3_500            56.788              56.948            -0.160         0.183
