DIAG SET 1: SON MEANS GLOBAL
 
TEST CASE: corey33 (yrs 2050-2069)
 
CONTROL CASE: b.e11.TSREFC2.f09.g16.ccmi23.002 (yrs 2050-2069)
 
Variable          corey33        b.e11.TSREFC2.f09.g16.ccmi23.002        corey33        RMSE
                                                            -b.e11.TSREFC2.f09.g16.ccmi23.002
RESTOM             2.379               3.088            -0.709         5.860
RESSURF            6.831               7.455            -0.623         6.415
SOLIN            342.177             342.177             0.000         0.000
AAM            1.390e+26           1.466e+26        -7.576e+24      -999.000
CHI_200            0.017               0.013             0.005         0.731
CLDHGH            28.364              28.348             0.016         2.708
CLDLOW            32.956              32.915             0.041         1.937
CLDMED            15.728              15.547             0.181         2.052
CLDTOT            50.476              50.370             0.107         2.330
EKE_850           27.521              27.436             0.085         2.028
EP            -3.921e-02          -3.861e-02        -6.090e-04         0.601
FLNS              58.981              58.369             0.612         2.129
FLNSC             81.632              80.678             0.953         1.929
FLNT             233.708             234.921            -1.214         3.645
FLNTC            262.041             263.267            -1.226         1.680
FSDS             186.705             185.941             0.764         5.155
FSDSC            249.265             248.352             0.913         1.389
FSNS             161.677             163.178            -1.501         6.837
FSNSC            217.611             219.567            -1.956         8.487
FSNSC_ICE         46.041              45.735             0.306         5.178
FSNSC_LAND       166.545             165.987             0.559         1.291
FSNT             236.087             238.010            -1.923         6.479
FSNTC            288.108             290.560            -2.452         8.145
ICEAREA           23.958              22.383             1.574         0.071
LHFLX             79.758              81.278            -1.520         6.510
LWCF              28.333              28.345            -0.013         2.798
PRECT              2.777               2.830            -0.052         0.555
PRECT_LAND         2.472               2.463             0.009         0.371
PRECT_OCEAN        3.003               3.077            -0.073         0.638
PREH2O            26.447              27.603            -1.156         1.743
PREH2O_OCEAN      30.417              31.758            -1.341         2.009
PSI_200           -0.043              -0.043             0.001         0.295
PS               985.479             985.593            -0.113         0.644
PSL             1011.144            1011.232            -0.088         0.657
QFLX               2.738               2.791            -0.053         0.181
SHFLX             16.106              16.076             0.030         2.043
SNOWHLND          10.359              10.233             0.126         2.130
SST               20.379              21.016            -0.637         0.787
STRESS_MAG         0.071               0.069             0.002         0.009
SWCF             -52.021             -52.550             0.530         5.044
T_850            282.127             282.708            -0.581         0.696
TGCLDLWP         135.075             136.336            -1.260        13.270
TGCLDIWP          17.112              16.901             0.211         1.671
TICLDTWP        -999.000            -999.000          -999.000      -999.000
AODVIS          -999.000            -999.000          -999.000      -999.000
AODDUST         -999.000            -999.000          -999.000      -999.000
TREFHT           288.194             288.792            -0.598         0.732
TS               288.872             289.482            -0.610         0.769
TS_LAND          283.633             284.142            -0.509         0.656
U_200             15.387              15.903            -0.516         1.766
VT_850             0.058               0.013             0.045         0.781
Z3_500            56.814              56.952            -0.137         0.164
