DIAG SET 1: ANN MEANS NORTHERN EXTRATROPICS (90N-20N)
 
TEST CASE: corey33 (yrs 2050-2069)
 
CONTROL CASE: b.e11.TSREFC2.f09.g16.ccmi23.002 (yrs 2050-2069)
 
Variable          corey33        b.e11.TSREFC2.f09.g16.ccmi23.002        corey33        RMSE
                                                            -b.e11.TSREFC2.f09.g16.ccmi23.002
RESTOM           -24.573             -25.452             0.879         1.840
RESSURF           -9.206              -9.275             0.069         2.919
SOLIN            305.490             305.490             0.000         0.000
AAM           -9.990e+02          -9.990e+02        -9.990e+02      -999.000
CHI_200           -0.218              -0.004            -0.214         0.504
CLDHGH            25.381              25.029             0.352         1.614
CLDLOW            30.496              30.871            -0.374         1.320
CLDMED            15.148              15.042             0.106         0.918
CLDTOT            46.650              46.590             0.060         1.422
EKE_850           33.220              33.575            -0.355         1.754
EP            -1.974e-02          -3.003e-02         1.029e-02         0.154
FLNS              64.578              64.217             0.361         1.514
FLNSC             87.806              87.393             0.413         1.156
FLNT             230.805             231.807            -1.002         2.148
FLNTC            254.690             255.563            -0.873         1.483
FSDS             166.140             165.461             0.678         2.443
FSDSC            219.122             218.649             0.473         0.768
FSNS             137.628             137.345             0.283         2.234
FSNSC            183.364             183.393            -0.029         1.556
FSNSC_ICE         48.100              49.994            -1.894         3.242
FSNSC_LAND       165.451             165.396             0.055         1.372
FSNT             206.231             206.355            -0.123         2.015
FSNTC            248.465             248.910            -0.445         1.534
ICEAREA           11.153              10.877             0.276         0.029
LHFLX             60.369              60.677            -0.308         2.347
LWCF              23.885              23.756             0.129         1.272
PRECT              2.079               2.103            -0.024         0.153
PRECT_LAND         1.697               1.707            -0.009         0.135
PRECT_OCEAN        2.656               2.698            -0.042         0.179
PREH2O            19.113              19.584            -0.472         0.728
PREH2O_OCEAN      25.255              25.867            -0.612         0.923
PSI_200           -6.605              -6.846             0.240         0.298
PS               976.685             976.918            -0.234         0.740
PSL             1015.573            1015.782            -0.209         0.732
QFLX               2.060               2.073            -0.014         0.075
SHFLX             21.886              21.726             0.160         1.517
SNOWHLND           4.310               3.979             0.332         2.884
SST               18.682              18.914            -0.232         0.565
STRESS_MAG         0.049               0.049            -0.000         0.007
SWCF             -42.233             -42.555             0.322         1.953
T_850            279.355             279.711            -0.356         0.567
TGCLDLWP         126.145             128.455            -2.310         6.841
TGCLDIWP          19.203              19.030             0.173         0.917
TICLDTWP        -999.000            -999.000          -999.000      -999.000
AODVIS          -999.000            -999.000          -999.000      -999.000
AODDUST         -999.000            -999.000          -999.000      -999.000
TREFHT           283.797             284.164            -0.367         0.664
TS               284.349             284.708            -0.359         0.669
TS_LAND          281.579             281.998            -0.419         0.703
U_200             18.254              18.797            -0.544         1.542
VT_850             0.281               0.273             0.009         0.743
Z3_500            56.588              56.690            -0.102         0.146
