DIAG SET 1: DJF MEANS NORTHERN EXTRATROPICS (90N-20N)
 
TEST CASE: corey33 (yrs 2050-2069)
 
CONTROL CASE: b.e11.TSREFC2.f09.g16.ccmi23.002 (yrs 2050-2069)
 
Variable          corey33        b.e11.TSREFC2.f09.g16.ccmi23.002        corey33        RMSE
                                                            -b.e11.TSREFC2.f09.g16.ccmi23.002
RESTOM          -103.521            -104.817             1.297         2.362
RESSURF          -75.836             -76.080             0.244         9.426
SOLIN            165.185             165.185             0.000         0.000
AAM           -9.990e+02          -9.990e+02        -9.990e+02      -999.000
CHI_200            3.445               3.709            -0.264         0.612
CLDHGH            26.335              25.642             0.693         2.972
CLDLOW            27.369              27.806            -0.438         1.749
CLDMED            17.085              17.052             0.034         1.733
CLDTOT            44.900              44.709             0.191         2.354
EKE_850           43.074              43.173            -0.099         2.914
EP             1.542e-01           1.382e-01         1.597e-02         0.355
FLNS              64.998              64.630             0.367         1.729
FLNSC             88.084              87.776             0.308         1.423
FLNT             212.814             214.015            -1.201         2.698
FLNTC            235.722             236.803            -1.080         1.964
FSDS              91.187              90.815             0.372         2.051
FSDSC            116.730             116.539             0.191         0.444
FSNS              74.397              74.130             0.267         2.010
FSNSC             96.081              95.974             0.107         1.218
FSNSC_ICE          1.401               1.437            -0.036         0.244
FSNSC_LAND        78.248              78.134             0.114         1.705
FSNT             109.293             109.198             0.096         1.858
FSNTC            130.202             130.280            -0.078         1.159
ICEAREA           13.522              13.297             0.225         0.043
LHFLX             67.958              68.557            -0.599         5.875
LWCF              22.908              22.787             0.121         1.931
PRECT              2.123               2.164            -0.041         0.315
PRECT_LAND         1.108               1.123            -0.015         0.177
PRECT_OCEAN        3.441               3.524            -0.083         0.433
PREH2O            12.041              12.363            -0.322         0.709
PREH2O_OCEAN      18.993              19.429            -0.436         0.967
PSI_200           -8.069              -8.274             0.204         0.360
PS               977.271             977.283            -0.012         1.593
PSL             1017.504            1017.488             0.017         1.613
QFLX               2.277               2.302            -0.025         0.177
SHFLX             17.276              17.022             0.255         3.598
SNOWHLND           5.788               5.436             0.352         2.936
SST               16.667              16.877            -0.210         0.567
STRESS_MAG         0.073               0.077            -0.004         0.020
SWCF             -20.909             -21.082             0.173         1.679
T_850            271.493             271.920            -0.427         0.863
TGCLDLWP         121.092             124.723            -3.632        12.476
TGCLDIWP          23.667              23.500             0.167         1.709
TICLDTWP        -999.000            -999.000          -999.000      -999.000
AODVIS          -999.000            -999.000          -999.000      -999.000
AODDUST         -999.000            -999.000          -999.000      -999.000
TREFHT           274.621             275.067            -0.446         0.967
TS               275.123             275.554            -0.431         0.948
TS_LAND          266.160             266.660            -0.499         1.075
U_200             25.247              25.965            -0.718         2.854
VT_850             0.405               0.392             0.014         1.850
Z3_500            55.252              55.349            -0.098         0.227
