DIAG SET 1: JJA MEANS NORTHERN EXTRATROPICS (90N-20N)
 
TEST CASE: corey33 (yrs 2050-2069)
 
CONTROL CASE: b.e11.TSREFC2.f09.g16.ccmi23.002 (yrs 2050-2069)
 
Variable          corey33        b.e11.TSREFC2.f09.g16.ccmi23.002        corey33        RMSE
                                                            -b.e11.TSREFC2.f09.g16.ccmi23.002
RESTOM            52.501              27.674            24.828        28.196
RESSURF           54.868              33.960            20.908        27.615
SOLIN            445.896             290.393           155.503       155.540
AAM           -9.990e+02          -9.990e+02        -9.990e+02      -999.000
CHI_200           -3.955              -1.225            -2.731         5.284
CLDHGH            25.361              16.970             8.391        10.154
CLDLOW            37.577              26.051            11.526        14.460
CLDMED            13.539               9.025             4.513         5.883
CLDTOT            52.606              35.913            16.693        18.164
EKE_850         -999.000            -999.000          -999.000      -999.000
EP            -2.465e-01          -1.995e-01        -4.709e-02         0.901
FLNS              59.430              38.455            20.975        23.805
FLNSC             83.691              54.566            29.125        30.142
FLNT             249.347             169.301            80.046        80.589
FLNTC            274.661             186.267            88.394        88.686
FSDS             232.429             148.422            84.007        85.719
FSDSC            319.906             206.799           113.107       113.295
FSNS             197.287             127.994            69.293        72.077
FSNSC            273.603             179.328            94.275        96.628
FSNSC_ICE        127.160             102.716            24.444        29.431
FSNSC_LAND      -999.000            -999.000          -999.000      -999.000
FSNT             301.849             196.974           104.874       106.398
FSNTC            371.543             244.171           127.372       128.799
ICEAREA            8.676               4.908             3.767         0.217
LHFLX             54.842              37.404            17.438        23.069
LWCF              25.314              16.966             8.348        10.108
PRECT              2.168               1.515             0.654         1.051
PRECT_LAND         2.464               1.708             0.756         1.280
PRECT_OCEAN        1.982               1.391             0.592         0.845
PREH2O            28.565              20.801             7.764         8.479
PREH2O_OCEAN      32.974              23.995             8.980         9.627
PSI_200           -4.287              -2.361            -1.925         2.230
PS               975.619             657.621           317.998       318.928
PSL             1013.203             682.911           330.292       330.301
QFLX               1.922               1.315             0.606         0.763
SHFLX             28.147              18.175             9.971        14.646
SNOWHLND           2.380               1.239             1.140         5.870
SST             -999.000            -999.000          -999.000      -999.000
STRESS_MAG         0.048               0.032             0.015         0.019
SWCF             -69.694             -47.196           -22.498        27.044
T_850           -999.000            -999.000          -999.000      -999.000
TGCLDLWP         136.255              94.172            42.083        52.990
TGCLDIWP          13.971               9.022             4.950         5.818
TICLDTWP        -999.000            -999.000          -999.000      -999.000
AODVIS          -999.000            -999.000          -999.000      -999.000
AODDUST         -999.000            -999.000          -999.000      -999.000
TREFHT           293.025             198.122            94.903        94.961
TS               293.612             198.502            95.110        95.173
TS_LAND          296.930             200.862            96.068        96.378
U_200              9.193               5.102             4.090         5.353
VT_850          -999.000            -999.000          -999.000      -999.000
Z3_500            58.118              18.658            39.459        39.464
