DIAG SET 1: MAM MEANS NORTHERN EXTRATROPICS (90N-20N)
 
TEST CASE: corey33 (yrs 2050-2069)
 
CONTROL CASE: b.e11.TSREFC2.f09.g16.ccmi23.002 (yrs 2050-2069)
 
Variable          corey33        b.e11.TSREFC2.f09.g16.ccmi23.002        corey33        RMSE
                                                            -b.e11.TSREFC2.f09.g16.ccmi23.002
RESTOM            18.522              17.603             0.919         2.782
RESSURF           18.528              18.387             0.141         3.890
SOLIN            367.642             367.642             0.000         0.000
AAM           -9.990e+02          -9.990e+02        -9.990e+02      -999.000
CHI_200            1.072               1.463            -0.391         0.489
CLDHGH            25.043              24.396             0.647         2.263
CLDLOW            27.583              27.958            -0.375         1.818
CLDMED            15.107              14.902             0.205         1.363
CLDTOT            44.144              43.908             0.236         2.197
EKE_850           33.326              33.280             0.046         1.962
EP             1.658e-02           2.842e-02        -1.184e-02         0.225
FLNS              69.940              69.711             0.229         1.978
FLNSC             92.738              92.421             0.317         1.269
FLNT             228.100             229.427            -1.327         2.726
FLNTC            251.566             252.502            -0.936         1.641
FSDS             209.776             208.975             0.801         4.057
FSDSC            268.559             267.961             0.597         1.073
FSNS             166.186             166.046             0.140         3.764
FSNSC            215.936             216.141            -0.205         3.397
FSNSC_ICE         48.180              48.241            -0.061         3.446
FSNSC_LAND       194.494             194.958            -0.464         3.372
FSNT             246.622             247.030            -0.408         3.412
FSNTC            291.357             292.100            -0.744         3.318
ICEAREA           13.972              13.769             0.203         0.043
LHFLX             53.211              53.561            -0.350         3.349
LWCF              23.466              23.075             0.391         1.804
PRECT              1.788               1.789            -0.001         0.202
PRECT_LAND         1.532               1.546            -0.015         0.205
PRECT_OCEAN        2.239               2.231             0.008         0.212
PREH2O            15.388              15.753            -0.365         0.643
PREH2O_OCEAN      21.125              21.552            -0.426         0.785
PSI_200           -7.966              -8.018             0.052         0.183
PS               976.939             977.309            -0.370         0.863
PSL             1015.818            1016.155            -0.337         0.851
QFLX               1.805               1.817            -0.012         0.101
SHFLX             24.507              24.386             0.121         1.950
SNOWHLND           6.509               6.026             0.483         3.108
SST               16.633              16.835            -0.202         0.614
STRESS_MAG         0.045               0.046            -0.002         0.007
SWCF             -44.735             -45.071             0.336         3.308
T_850            277.573             277.929            -0.356         0.612
TGCLDLWP         115.796             117.690            -1.894        10.365
TGCLDIWP          20.404              20.101             0.303         1.519
TICLDTWP        -999.000            -999.000          -999.000      -999.000
AODVIS          -999.000            -999.000          -999.000      -999.000
AODDUST         -999.000            -999.000          -999.000      -999.000
TREFHT           282.283             282.610            -0.327         0.710
TS               282.818             283.141            -0.323         0.729
TS_LAND          281.301             281.723            -0.422         0.795
U_200             20.871              21.302            -0.431         1.566
VT_850             0.458               0.455             0.003         0.923
Z3_500            56.188              56.301            -0.113         0.159
