DIAG SET 1: SON MEANS NORTHERN EXTRATROPICS (90N-20N)
 
TEST CASE: corey33 (yrs 2050-2069)
 
CONTROL CASE: b.e11.TSREFC2.f09.g16.ccmi23.002 (yrs 2050-2069)
 
Variable          corey33        b.e11.TSREFC2.f09.g16.ccmi23.002        corey33        RMSE
                                                            -b.e11.TSREFC2.f09.g16.ccmi23.002
RESTOM           -67.984             -68.834             0.850         2.049
RESSURF          -36.083             -36.337             0.254         5.111
SOLIN            239.469             239.469             0.000         0.000
AAM           -9.990e+02          -9.990e+02        -9.990e+02      -999.000
CHI_200           -1.363              -1.373             0.010         0.579
CLDHGH            24.791              24.915            -0.124         1.771
CLDLOW            29.361              29.826            -0.465         1.715
CLDMED            14.912              14.875             0.037         1.217
CLDTOT            44.885              45.202            -0.317         1.823
EKE_850           29.933              30.468            -0.535         1.977
EP             3.270e-04          -2.250e-02         2.283e-02         0.274
FLNS              63.951              63.531             0.420         2.040
FLNSC             86.714              86.376             0.338         1.549
FLNT             232.587             233.232            -0.645         2.401
FLNTC            256.413             257.260            -0.847         1.461
FSDS             129.140             128.478             0.662         2.763
FSDSC            168.520             168.117             0.402         0.727
FSNS             110.981             110.451             0.530         2.387
FSNSC            145.527             145.307             0.220         0.918
FSNSC_ICE         10.427              10.281             0.145         1.275
FSNSC_LAND       129.593             129.399             0.194         1.079
FSNT             164.603             164.398             0.205         2.131
FSNTC            197.630             197.756            -0.126         0.738
ICEAREA            8.468               8.106             0.362         0.043
LHFLX             65.644              65.944            -0.300         4.224
LWCF              23.826              24.028            -0.202         1.678
PRECT              2.240               2.277            -0.038         0.267
PRECT_LAND         1.668               1.678            -0.010         0.215
PRECT_OCEAN        2.960               3.016            -0.056         0.321
PREH2O            20.311              20.824            -0.513         0.966
PREH2O_OCEAN      26.971              27.648            -0.677         1.190
PSI_200           -6.128              -6.446             0.318         0.364
PS               976.899             977.067            -0.169         0.580
PSL             1015.788            1015.930            -0.142         0.570
QFLX               2.240               2.255            -0.015         0.131
SHFLX             17.469              17.313             0.156         1.758
SNOWHLND           2.585               2.349             0.236         2.899
SST               19.998              20.253            -0.255         0.533
STRESS_MAG         0.048               0.048             0.001         0.006
SWCF             -33.027             -33.358             0.331         2.202
T_850            279.878             280.209            -0.331         0.514
TGCLDLWP         131.358             134.367            -3.009         9.972
TGCLDIWP          18.862              18.800             0.062         1.275
TICLDTWP        -999.000            -999.000          -999.000      -999.000
AODVIS          -999.000            -999.000          -999.000      -999.000
AODDUST         -999.000            -999.000          -999.000      -999.000
TREFHT           285.070             285.452            -0.382         0.622
TS               285.653             286.029            -0.376         0.641
TS_LAND          281.579             281.975            -0.396         0.603
U_200             17.857              18.366            -0.509         1.627
VT_850             0.120               0.117             0.003         0.783
Z3_500            56.758              56.854            -0.096         0.133
