DIAG SET 1: ANN MEANS SOUTHERN EXTRATROPICS (90S-20S)
 
TEST CASE: corey33 (yrs 2050-2069)
 
CONTROL CASE: b.e11.TSREFC2.f09.g16.ccmi23.002 (yrs 2050-2069)
 
Variable          corey33        b.e11.TSREFC2.f09.g16.ccmi23.002        corey33        RMSE
                                                            -b.e11.TSREFC2.f09.g16.ccmi23.002
RESTOM           -23.136             -20.904            -2.232         7.046
RESSURF           -4.488              -3.395            -1.093         4.266
SOLIN            305.490             305.490             0.000         0.000
AAM           -9.990e+02          -9.990e+02        -9.990e+02      -999.000
CHI_200            0.786               0.585             0.200         0.609
CLDHGH            25.238              25.416            -0.178         1.936
CLDLOW            39.494              39.887            -0.392         1.403
CLDMED            15.605              15.509             0.096         1.386
CLDTOT            53.438              53.761            -0.323         1.561
EKE_850           44.198              44.090             0.108         1.926
EP             1.112e-01           1.121e-01        -8.829e-04         0.284
FLNS              60.011              58.847             1.164         1.965
FLNSC             88.637              87.369             1.268         1.985
FLNT             225.009             226.339            -1.329         2.503
FLNTC            249.076             250.668            -1.592         1.707
FSDS             168.368             166.221             2.147         4.556
FSDSC            226.444             225.287             1.158         1.625
FSNS             138.604             141.825            -3.221         7.453
FSNSC            188.671             194.128            -5.457        11.292
FSNSC_ICE         61.033              60.721             0.312         3.718
FSNSC_LAND       129.934             129.550             0.384         0.621
FSNT             201.874             205.435            -3.561         7.272
FSNTC            247.470             253.241            -5.771        11.059
ICEAREA           11.792              10.691             1.100         0.057
LHFLX             70.804              73.987            -3.183         6.371
LWCF              24.066              24.329            -0.263         1.931
PRECT              2.283               2.393            -0.110         0.350
PRECT_LAND         1.650               1.691            -0.041         0.171
PRECT_OCEAN        2.464               2.589            -0.124         0.395
PREH2O            17.272              18.600            -1.328         1.803
PREH2O_OCEAN      19.638              21.074            -1.436         2.025
PSI_200            7.235               7.384            -0.149         0.194
PS               983.624             983.588             0.036         0.766
PSL             1007.330            1007.259             0.071         0.782
QFLX               2.394               2.505            -0.111         0.216
SHFLX             12.277              12.386            -0.109         1.658
SNOWHLND          46.953              46.942             0.011         0.753
SST               14.843              15.705            -0.862         0.969
STRESS_MAG         0.094               0.091             0.003         0.009
SWCF             -45.596             -47.806             2.210         4.897
T_850            276.318             277.155            -0.838         0.899
TGCLDLWP         141.201             145.037            -3.836        11.460
TGCLDIWP          20.301              20.031             0.271         1.530
TICLDTWP        -999.000            -999.000          -999.000      -999.000
AODVIS          -999.000            -999.000          -999.000      -999.000
AODDUST         -999.000            -999.000          -999.000      -999.000
TREFHT           281.349             282.166            -0.818         0.897
TS               281.877             282.723            -0.846         0.949
TS_LAND          266.830             267.538            -0.707         0.747
U_200             25.542              25.748            -0.206         1.515
VT_850            -0.212              -0.205            -0.006         0.708
Z3_500            55.241              55.418            -0.177         0.195
