DIAG SET 1: DJF MEANS SOUTHERN EXTRATROPICS (90S-20S)
 
TEST CASE: corey33 (yrs 2050-2069)
 
CONTROL CASE: b.e11.TSREFC2.f09.g16.ccmi23.002 (yrs 2050-2069)
 
Variable          corey33        b.e11.TSREFC2.f09.g16.ccmi23.002        corey33        RMSE
                                                            -b.e11.TSREFC2.f09.g16.ccmi23.002
RESTOM            72.335              76.545            -4.210        10.571
RESSURF           81.750              84.150            -2.400         7.299
SOLIN            471.643             471.643             0.000         0.000
AAM           -9.990e+02          -9.990e+02        -9.990e+02      -999.000
CHI_200           -2.949              -3.207             0.258         0.600
CLDHGH            20.764              21.214            -0.450         2.438
CLDLOW            42.723              42.778            -0.054         2.110
CLDMED            13.604              13.601             0.003         2.075
CLDTOT            53.099              53.391            -0.292         2.422
EKE_850           29.321              29.734            -0.412         2.500
EP            -3.413e-02          -2.543e-02        -8.697e-03         0.505
FLNS              55.906              54.631             1.275         2.702
FLNSC             85.248              83.662             1.586         2.442
FLNT             236.131             237.239            -1.108         3.053
FLNTC            258.372             259.925            -1.554         1.734
FSDS             262.137             258.998             3.139         7.980
FSDSC            355.976             354.264             1.712         2.397
FSNS             211.168             215.953            -4.785        11.599
FSNSC            292.611             300.694            -8.083        16.597
FSNSC_ICE        122.570             121.986             0.583        10.091
FSNSC_LAND       190.807             190.248             0.558         1.564
FSNT             308.466             313.784            -5.318        11.217
FSNTC            381.063             389.616            -8.553        16.217
ICEAREA            7.747               6.928             0.820         0.048
LHFLX             62.724              66.033            -3.309         8.014
LWCF              22.240              22.686            -0.446         2.483
PRECT              2.182               2.289            -0.106         0.481
PRECT_LAND         2.740               2.752            -0.012         0.395
PRECT_OCEAN        2.096               2.225            -0.129         0.513
PREH2O            21.417              23.007            -1.590         2.263
PREH2O_OCEAN      23.129              24.827            -1.698         2.525
PSI_200            6.584               6.709            -0.126         0.209
PS               983.679             983.770            -0.091         0.926
PSL             1006.968            1007.041            -0.074         0.909
QFLX               2.148               2.263            -0.115         0.247
SHFLX             10.788              11.139            -0.351         1.580
SNOWHLND          46.916              46.905             0.011         0.749
SST               16.214              17.155            -0.941         1.073
STRESS_MAG         0.084               0.079             0.005         0.009
SWCF             -72.597             -75.832             3.235         8.164
T_850            279.534             280.394            -0.860         0.951
TGCLDLWP         145.222             147.970            -2.749        15.987
TGCLDIWP          16.471              16.324             0.147         1.729
TICLDTWP        -999.000            -999.000          -999.000      -999.000
AODVIS          -999.000            -999.000          -999.000      -999.000
AODDUST         -999.000            -999.000          -999.000      -999.000
TREFHT           285.037             285.859            -0.823         0.931
TS               285.517             286.381            -0.864         1.000
TS_LAND          276.414             277.229            -0.816         0.911
U_200             19.604              19.939            -0.335         1.409
VT_850            -0.086              -0.095             0.009         1.033
Z3_500            55.952              56.147            -0.195         0.206
