DIAG SET 1: JJA MEANS SOUTHERN EXTRATROPICS (90S-20S)
 
TEST CASE: corey33 (yrs 2050-2069)
 
CONTROL CASE: b.e11.TSREFC2.f09.g16.ccmi23.002 (yrs 2050-2069)
 
Variable          corey33        b.e11.TSREFC2.f09.g16.ccmi23.002        corey33        RMSE
                                                            -b.e11.TSREFC2.f09.g16.ccmi23.002
RESTOM          -110.534             -68.704           -41.830        42.987
RESSURF          -82.887             -51.124           -31.764        37.281
SOLIN            154.664             111.905            42.758        52.208
AAM           -9.990e+02          -9.990e+02        -9.990e+02      -999.000
CHI_200            4.592               1.520             3.072         4.334
CLDHGH            31.539              21.414            10.125        12.181
CLDLOW            37.602              25.793            11.808        12.886
CLDMED            17.499              11.687             5.812         6.999
CLDTOT            56.234              38.274            17.960        18.851
EKE_850         -999.000            -999.000          -999.000      -999.000
EP             1.961e-01           1.315e-01         6.458e-02         0.666
FLNS              62.859              41.879            20.980        21.785
FLNSC             91.735              61.490            30.246        30.605
FLNT             214.646             145.359            69.287        70.695
FLNTC            241.404             163.394            78.010        79.083
FSDS              81.879              58.737            23.142        30.170
FSDSC            108.851              78.838            30.013        37.408
FSNS              71.239              52.893            18.347        23.911
FSNSC             94.387              70.649            23.737        29.720
FSNSC_ICE          2.511               1.031             1.480         0.042
FSNSC_LAND      -999.000            -999.000          -999.000      -999.000
FSNT             104.112              76.655            27.457        34.708
FSNTC            126.510              93.735            32.775        40.456
ICEAREA           15.290               9.818             5.472         0.234
LHFLX             77.853              53.083            24.770        31.098
LWCF              26.758              18.035             8.723         9.453
PRECT              2.421               1.654             0.767         0.949
PRECT_LAND         0.849               0.552             0.297         0.391
PRECT_OCEAN        2.855               1.953             0.901         1.063
PREH2O            13.601               9.554             4.047         4.661
PREH2O_OCEAN      16.108              11.439             4.669         5.219
PSI_200            7.206               4.066             3.139         3.912
PS               983.828             663.050           320.778       321.766
PSL             1007.840             679.201           328.639       328.671
QFLX               2.617               1.786             0.831         1.029
SHFLX             13.414               9.054             4.360         7.829
SNOWHLND          46.974              31.653            15.321        22.349
SST             -999.000            -999.000          -999.000      -999.000
STRESS_MAG         0.105               0.070             0.035         0.041
SWCF             -22.397             -17.080            -5.318         6.583
T_850           -999.000            -999.000          -999.000      -999.000
TGCLDLWP         139.712              96.516            43.196        49.966
TGCLDIWP          23.159              15.404             7.755         9.152
TICLDTWP        -999.000            -999.000          -999.000      -999.000
AODVIS          -999.000            -999.000          -999.000      -999.000
AODDUST         -999.000            -999.000          -999.000      -999.000
TREFHT           278.243             187.821            90.422        90.596
TS               278.813             188.208            90.605        90.803
TS_LAND          259.590             174.739            84.851        84.410
U_200             30.387              17.773            12.614        13.774
VT_850          -999.000            -999.000          -999.000      -999.000
Z3_500            54.639              17.475            37.164        37.427
