DIAG SET 1: MAM MEANS SOUTHERN EXTRATROPICS (90S-20S)
 
TEST CASE: corey33 (yrs 2050-2069)
 
CONTROL CASE: b.e11.TSREFC2.f09.g16.ccmi23.002 (yrs 2050-2069)
 
Variable          corey33        b.e11.TSREFC2.f09.g16.ccmi23.002        corey33        RMSE
                                                            -b.e11.TSREFC2.f09.g16.ccmi23.002
RESTOM           -69.327             -68.369            -0.959         5.954
RESSURF          -43.942             -43.648            -0.294         5.476
SOLIN            232.634             232.634             0.000         0.000
AAM           -9.990e+02          -9.990e+02        -9.990e+02      -999.000
CHI_200           -0.425              -0.806             0.382         0.702
CLDHGH            23.943              24.177            -0.234         2.414
CLDLOW            38.565              39.246            -0.681         1.876
CLDMED            16.018              15.927             0.091         1.605
CLDTOT            51.720              52.382            -0.662         2.024
EKE_850           42.075              42.025             0.049         2.190
EP             1.596e-01           1.502e-01         9.369e-03         0.368
FLNS              59.103              57.495             1.608         2.471
FLNSC             86.649              84.979             1.670         2.496
FLNT             226.073             227.665            -1.592         3.063
FLNTC            250.294             252.074            -1.780         1.969
FSDS             123.501             121.527             1.974         4.212
FSDSC            167.328             166.312             1.016         1.452
FSNS             107.067             109.223            -2.156         6.012
FSNSC            145.455             149.481            -4.025         8.965
FSNSC_ICE         21.614              21.194             0.421         3.181
FSNSC_LAND       103.667             103.303             0.364         0.582
FSNT             156.746             159.296            -2.550         5.927
FSNTC            193.012             197.424            -4.412         8.922
ICEAREA            8.596               7.571             1.025         0.065
LHFLX             79.796              83.246            -3.449         7.182
LWCF              24.221              24.409            -0.188         2.389
PRECT              2.538               2.669            -0.131         0.437
PRECT_LAND         1.512               1.576            -0.064         0.222
PRECT_OCEAN        2.792               2.937            -0.145         0.485
PREH2O            18.877              20.509            -1.632         2.189
PREH2O_OCEAN      21.187              22.891            -1.704         2.396
PSI_200            7.881               7.801             0.079         0.174
PS               983.579             983.493             0.086         0.868
PSL             1007.412            1007.307             0.104         0.864
QFLX               2.697               2.819            -0.122         0.242
SHFLX             12.110              12.131            -0.021         2.002
SNOWHLND          46.926              46.913             0.013         0.814
SST               15.847              16.754            -0.907         1.035
STRESS_MAG         0.094               0.091             0.003         0.010
SWCF             -36.266             -38.128             1.862         4.243
T_850            277.242             278.197            -0.955         1.035
TGCLDLWP         144.851             149.063            -4.212        13.228
TGCLDIWP          20.690              20.236             0.454         1.898
TICLDTWP        -999.000            -999.000          -999.000      -999.000
AODVIS          -999.000            -999.000          -999.000      -999.000
AODDUST         -999.000            -999.000          -999.000      -999.000
TREFHT           282.201             283.103            -0.902         1.025
TS               282.787             283.715            -0.928         1.080
TS_LAND          264.461             265.239            -0.778         0.882
U_200             24.854              24.812             0.041         1.856
VT_850            -0.160              -0.141            -0.019         0.987
Z3_500            55.418              55.620            -0.202         0.219
