DIAG SET 1: ANN MEANS TROPICS (20N-20S)
 
TEST CASE: corey33 (yrs 2050-2069)
 
CONTROL CASE: b.e11.TSREFC2.f09.g16.ccmi23.002 (yrs 2050-2069)
 
Variable          corey33        b.e11.TSREFC2.f09.g16.ccmi23.002        corey33        RMSE
                                                            -b.e11.TSREFC2.f09.g16.ccmi23.002
RESTOM            49.384              46.346             3.038         5.681
RESSURF           16.133              16.268            -0.135         7.267
SOLIN            408.204             376.948            31.256        31.534
AAM           -9.990e+02          -9.990e+02        -9.990e+02      -999.000
CHI_200           -0.529              -0.507            -0.022         1.549
CLDHGH            36.558              33.327             3.231         4.308
CLDLOW            29.528              26.663             2.865         3.489
CLDMED            16.844              15.342             1.501         2.837
CLDTOT            53.594              48.779             4.816         5.338
EKE_850           14.929              15.127            -0.198         5.636
EP            -8.897e-02          -9.254e-02         3.561e-03         0.693
FLNS              51.887              46.851             5.035         5.373
FLNSC             67.969              60.925             7.044         7.243
FLNT             244.058             225.500            18.558        19.000
FLNTC            282.950             260.888            22.062        22.088
FSDS             215.423             199.434            15.989        16.692
FSDSC            292.044             269.169            22.875        23.027
FSNS             199.947             185.125            14.822        15.532
FSNSC            272.025             250.769            21.255        21.446
FSNSC_ICE       -999.000            -999.000          -999.000      -999.000
FSNSC_LAND      -999.000            -999.000          -999.000      -999.000
FSNT             293.442             271.846            21.596        22.082
FSNTC            362.098             334.497            27.602        27.880
ICEAREA            0.000               0.000             0.000      -999.000
LHFLX            114.730             106.169             8.561        10.794
LWCF              38.892              35.388             3.504         4.730
PRECT              4.064               3.773             0.292         0.693
PRECT_LAND         4.278               3.914             0.364         0.622
PRECT_OCEAN        3.990               3.717             0.273         0.710
PREH2O            43.211              41.435             1.776         2.288
PREH2O_OCEAN      44.817              43.073             1.743         2.275
PSI_200           -0.715              -0.404            -0.311         0.365
PS               995.944             914.152            81.792        81.850
PSL             1010.651             927.640            83.012        83.013
QFLX               3.975               3.680             0.295         0.339
SHFLX             17.197              15.837             1.360         2.271
SNOWHLND           0.000               0.000             0.000         0.000
SST               27.459               3.374            24.085        24.087
STRESS_MAG         0.055               0.046             0.009         0.012
SWCF             -68.656             -62.651            -6.006         7.695
T_850            290.601             270.812            19.789        19.652
TGCLDLWP         137.933             125.678            12.255        18.949
TGCLDIWP          11.970              10.688             1.282         1.970
TICLDTWP        -999.000            -999.000          -999.000      -999.000
AODVIS          -999.000            -999.000          -999.000      -999.000
AODDUST         -999.000            -999.000          -999.000      -999.000
TREFHT           299.282             275.293            23.989        23.992
TS               300.234             276.178            24.056        24.059
TS_LAND          298.870             274.928            23.942        23.916
U_200              2.884               2.649             0.235         1.896
VT_850             0.416               0.837            -0.421         3.719
Z3_500            58.683              48.196            10.488        10.488
