DIAG SET 1: DJF MEANS TROPICS (20N-20S)
 
TEST CASE: corey33 (yrs 2050-2069)
 
CONTROL CASE: b.e11.TSREFC2.f09.g16.ccmi23.002 (yrs 2050-2069)
 
Variable          corey33        b.e11.TSREFC2.f09.g16.ccmi23.002        corey33        RMSE
                                                            -b.e11.TSREFC2.f09.g16.ccmi23.002
RESTOM            54.508              52.876             1.632         4.271
RESSURF           16.440              14.940             1.500         7.607
SOLIN            413.168             413.168             0.000         0.000
AAM           -9.990e+02          -9.990e+02        -9.990e+02      -999.000
CHI_200           -0.583              -0.598             0.016         0.770
CLDHGH            38.505              37.783             0.722         3.722
CLDLOW            27.826              27.465             0.362         2.130
CLDMED            17.379              17.344             0.035         3.164
CLDTOT            53.591              52.978             0.613         2.924
EKE_850           11.161              11.330            -0.169         1.852
EP            -1.005e-01          -8.836e-02        -1.217e-02         1.003
FLNS              54.058              53.123             0.935         2.260
FLNSC             69.895              68.123             1.772         2.575
FLNT             241.732             243.817            -2.085         5.716
FLNTC            282.207             283.700            -1.493         2.158
FSDS             218.903             218.869             0.034         6.878
FSDSC            295.841             295.064             0.777         1.329
FSNS             203.063             202.988             0.075         6.487
FSNSC            275.435             274.696             0.739         1.215
FSNSC_ICE       -999.000            -999.000          -999.000      -999.000
FSNSC_LAND       248.494             247.918             0.576         1.455
FSNT             296.241             296.694            -0.453         6.049
FSNTC            365.691             365.706            -0.014         0.273
ICEAREA            0.000               0.000             0.000      -999.000
LHFLX            116.300             118.555            -2.255         8.513
LWCF              40.475              39.883             0.592         4.145
PRECT              4.132               4.196            -0.064         0.958
PRECT_LAND         4.576               4.424             0.152         0.602
PRECT_OCEAN        3.985               4.118            -0.133         1.046
PREH2O            41.580              43.682            -2.102         2.779
PREH2O_OCEAN      43.556              45.969            -2.413         3.051
PSI_200            1.448               1.528            -0.080         0.224
PS               994.877             995.166            -0.289         0.474
PSL             1009.599            1009.882            -0.284         0.469
QFLX               4.031               4.107            -0.076         0.224
SHFLX             16.266              16.371            -0.105         2.201
SNOWHLND           0.000               0.000             0.000         0.001
SST               27.369              28.089            -0.720         0.790
STRESS_MAG         0.059               0.056             0.002         0.008
SWCF             -69.451             -69.012            -0.438         6.101
T_850            290.100             290.820            -0.720         0.767
TGCLDLWP         139.678             139.627             0.051        20.336
TGCLDIWP          12.619              12.147             0.471         2.183
TICLDTWP        -999.000            -999.000          -999.000      -999.000
AODVIS          -999.000            -999.000          -999.000      -999.000
AODDUST         -999.000            -999.000          -999.000      -999.000
TREFHT           298.918             299.611            -0.693         0.750
TS               299.841             300.535            -0.693         0.759
TS_LAND          297.507             298.135            -0.628         0.675
U_200              4.006               3.726             0.280         1.838
VT_850            -2.096              -2.243             0.147         0.809
Z3_500            58.507              58.704            -0.197         0.198
