DIAG SET 1: JJA MEANS TROPICS (20N-20S)
 
TEST CASE: corey33 (yrs 2050-2069)
 
CONTROL CASE: b.e11.TSREFC2.f09.g16.ccmi23.002 (yrs 2050-2069)
 
Variable          corey33        b.e11.TSREFC2.f09.g16.ccmi23.002        corey33        RMSE
                                                            -b.e11.TSREFC2.f09.g16.ccmi23.002
RESTOM            29.754              21.083             8.670        18.079
RESSURF           -2.219               0.224            -2.443        18.788
SOLIN            389.195             265.189           124.006       125.107
AAM           -9.990e+02          -9.990e+02        -9.990e+02      -999.000
CHI_200           -0.499              -0.118            -0.381         5.943
CLDHGH            34.527              22.929            11.598        13.540
CLDLOW            32.000              21.829            10.171        11.321
CLDMED            16.684              11.190             5.494         7.618
CLDTOT            54.008              36.427            17.581        18.441
EKE_850         -999.000            -999.000          -999.000      -999.000
EP             8.703e-02           5.379e-02         3.324e-02         1.612
FLNS              50.274              33.061            17.213        17.946
FLNSC             66.703              43.852            22.852        23.293
FLNT             245.779             166.788            78.990        79.618
FLNTC            283.144             191.566            91.578        91.614
FSDS             198.632             134.982            63.650        64.680
FSDSC            275.985             187.911            88.073        88.726
FSNS             184.208             125.307            58.901        59.970
FSNSC            256.713             174.931            81.782        82.594
FSNSC_ICE       -999.000            -999.000          -999.000      -999.000
FSNSC_LAND      -999.000            -999.000          -999.000      -999.000
FSNT             275.532             187.872            87.660        88.626
FSNTC            344.478             235.018           109.461       110.515
ICEAREA            0.000               0.000             0.000      -999.000
LHFLX            119.113              80.480            38.633        42.506
LWCF              37.365              24.778            12.588        14.872
PRECT              4.016               2.719             1.297         1.965
PRECT_LAND         3.492               2.323             1.169         1.619
PRECT_OCEAN        4.173               2.800             1.373         2.016
PREH2O            43.820              30.743            13.077        13.559
PREH2O_OCEAN      45.353              31.743            13.611        13.930
PSI_200           -3.068              -1.816            -1.251         1.365
PS               997.400             672.296           325.104       325.319
PSL             1012.142             682.224           329.918       329.920
QFLX               4.103               2.773             1.330         1.418
SHFLX             17.040              11.543             5.497         7.510
SNOWHLND           0.000               0.000             0.000         0.000
SST             -999.000            -999.000          -999.000      -999.000
STRESS_MAG         0.072               0.047             0.026         0.029
SWCF             -68.946             -47.146           -21.800        24.671
T_850           -999.000            -999.000          -999.000      -999.000
TGCLDLWP         147.832             101.497            46.336        57.270
TGCLDIWP          11.667               7.656             4.010         5.385
TICLDTWP        -999.000            -999.000          -999.000      -999.000
AODVIS          -999.000            -999.000          -999.000      -999.000
AODDUST         -999.000            -999.000          -999.000      -999.000
TREFHT           299.147             201.957            97.190        97.194
TS               300.029             202.548            97.481        97.486
TS_LAND          298.543             201.576            96.967        96.859
U_200              0.383               0.063             0.320         6.152
VT_850          -999.000            -999.000          -999.000      -999.000
Z3_500            58.832              18.847            39.985        39.986
