DIAG SET 1: SON MEANS TROPICS (20N-20S)
 
TEST CASE: corey33 (yrs 2050-2069)
 
CONTROL CASE: b.e11.TSREFC2.f09.g16.ccmi23.002 (yrs 2050-2069)
 
Variable          corey33        b.e11.TSREFC2.f09.g16.ccmi23.002        corey33        RMSE
                                                            -b.e11.TSREFC2.f09.g16.ccmi23.002
RESTOM            56.332              55.639             0.693         3.816
RESSURF           26.730              26.413             0.317         7.141
SOLIN            417.955             417.955             0.000         0.000
AAM           -9.990e+02          -9.990e+02        -9.990e+02      -999.000
CHI_200           -0.434              -0.489             0.054         0.929
CLDHGH            35.523              35.167             0.356         3.509
CLDLOW            30.432              29.750             0.683         2.324
CLDMED            16.988              16.694             0.294         2.881
CLDTOT            53.801              53.063             0.738         2.892
EKE_850           11.087              11.084             0.003         1.525
EP            -2.329e-01          -2.203e-01        -1.261e-02         0.934
FLNS              51.045              50.302             0.742         2.177
FLNSC             67.620              65.997             1.622         2.332
FLNT             244.870             246.707            -1.837         5.061
FLNTC            282.811             284.208            -1.397         1.919
FSDS             221.690             222.178            -0.488         5.996
FSDSC            301.043             300.003             1.040         1.311
FSNS             206.151             206.571            -0.420         5.638
FSNSC            280.916             279.922             0.994         1.260
FSNSC_ICE       -999.000            -999.000          -999.000      -999.000
FSNSC_LAND       254.913             253.482             1.430         1.904
FSNT             301.202             302.346            -1.144         5.333
FSNTC            372.024             371.987             0.037         0.381
ICEAREA            0.000               0.000             0.000      -999.000
LHFLX            110.348             111.825            -1.477         8.249
LWCF              37.941              37.501             0.441         3.865
PRECT              4.076               4.113            -0.037         0.844
PRECT_LAND         4.728               4.654             0.074         0.626
PRECT_OCEAN        3.862               3.938            -0.076         0.900
PREH2O            43.377              45.303            -1.926         2.424
PREH2O_OCEAN      44.508              46.603            -2.094         2.585
PSI_200           -1.224              -1.175            -0.049         0.194
PS               995.870             996.073            -0.203         0.431
PSL             1010.553            1010.747            -0.194         0.423
QFLX               3.843               3.893            -0.049         0.198
SHFLX             18.029              18.031            -0.002         2.151
SNOWHLND           0.000               0.000             0.000         0.000
SST               27.224              27.941            -0.718         0.805
STRESS_MAG         0.056               0.052             0.004         0.009
SWCF             -70.822             -69.641            -1.181         5.503
T_850            290.673             291.365            -0.692         0.744
TGCLDLWP         138.748             137.024             1.724        15.696
TGCLDIWP          11.787              11.444             0.342         1.708
TICLDTWP        -999.000            -999.000          -999.000      -999.000
AODVIS          -999.000            -999.000          -999.000      -999.000
AODDUST         -999.000            -999.000          -999.000      -999.000
TREFHT           299.273             299.959            -0.686         0.745
TS               300.242             300.947            -0.704         0.784
TS_LAND          299.674             300.363            -0.689         0.742
U_200              1.417               2.073            -0.656         1.729
VT_850             0.275               0.145             0.129         0.733
Z3_500            58.674              58.841            -0.167         0.168
